Abyssinian
American Bobtail
American Bobtail Shorthair
American Curl
American Curl Longhair
American Shorthair
American Wirehair
Applehead Siamese
Australian Mist
Balinese
Bengal
Bengal Longhair
Birman
Bombay
British Longhair
British Shorthair
Burmese
Burmilla
Burmilla Longhair
Calico
Canadian Hairless
Chartreux
Chausie
Cherubim
Chinchilla
Cornish Rex
Cymric
Devon Rex
Dilute Calico
Dilute Tortoiseshell
Domestic Long Hair
Domestic Medium Hair
Domestic Short Hair
Donskoy
Egyptian Mau
Exotic Shorthair
Extra-Toes Cat
Hemingway Polydactyl
Havana
Highlander
Highlander Shorthair
Himalayan
Japanese Bobtail
Japanese Bobtail Longhair
Javanese
Khaomanee
Korat
Kurilian Bobtail
Kurilian Bobtail Longhair
LaPerm
LaPerm Shorthair
Lykoi
Maine Coon
Maine Coon Polydactyl
Manx
Minuet
Munchkin
Nebelung
Norwegian Forest Cat
Ocicat
Oriental Long Hair
Oriental Longhair
Oriental Short Hair
Oriental Shorthair
Oriental Tabby
Persian
Peterbald
Pixiebob
Pixiebob Longhair
Ragamuffin
Ragdoll
Russian Blue
Savannah
Scottish Fold
Scottish Fold Longhair
Scottish Straight
Scottish Straight Longhair
Selkirk Rex
Selkirk Rex Longhair
Serengeti
Siamese
Siberian
Silver
Singapura
Snowshoe
Somali
Sphynx
Tabby
Tennessee Rex
Thai
Tiger
Tonkinese
Torbie
Tortoiseshell
Toyger
Turkish Angora
Turkish Van
Tuxedo
York Chocolate
