Agouti
Albino
Appaloosa
Apricot / Beige
Bay
Bay Roan
Bicolor
Black
Black & White
Black & White / Tuxedo
Black Sable
Blue
Blue / Gray
Blue Cream
Blue Point
Blue Roan
Brindle
Brown
Brown / Chocolate
Buckskin
Buff
Buff & White
Buff / Tan / Fawn
Calico
Champagne
Chestnut / Sorrel
Chocolate Point
Cinnamon
Cream
Cream / Ivory
Cream Point
Cremello
Dapple Gray
Dilute Calico
Dilute Tortoiseshell
Dun
Flame Point
Golden
Gray
Gray & White
Gray / Blue / Silver
Green
Grullo
Harlequin
Iridescent
Lilac
Lilac Point
Liver
Merle (Blue)
Merle (Red)
Olive
Orange
Orange & White
Orange / Red
Paint
Palomino
Perlino
Piebald
Pink
Pinto
Purple
Purple / Violet
Red
Red / Chestnut / Orange
Red Roan
Roan
Rust / Rufous
Sable
Seal Point
Silver Bay
Silver Buckskin
Silver Dapple
Silver Marten
Smoke
Spotted
Tabby (Brown / Chocolate)
Tabby (Buff / Tan / Fawn)
Tabby (Gray / Blue / Silver)
Tabby (Leopard / Spotted)
Tabby (Orange / Red)
Tabby (Tiger Striped)
Tan
Torbie
Tortoiseshell
"Tricolor (Brown, Black, & White)"
White
White (Dark-Eyed)
White / Cream
Yellow
Yellow / Tan / Blond / Fawn
