Alpaca
Alpine
Angora
Angus
Barbados
Boer
Cow
Duroc
Goat
Hampshire
Holstein
Jersey
LaMancha
Landrace
Llama
Merino
Mouflon
Myotonic / Fainting
Nigerian Dwarf
Nubian
Oberhasli
Pig
Pot Bellied
Pygmy
Saanen
Sheep
Shetland
Toggenburg
Vietnamese Pot Bellied
Yorkshire
