African Grey
Amazon
Brotogeris
Budgie / Budgerigar
Button-Quail
Caique
Canary
Chicken
Cockatiel
Cockatoo
Conure
Dove
Duck
Eclectus
Emu
Finch
Goose
Guinea Fowl
Kakariki
Lory / Lorikeet
Lovebird
Macaw
Ostrich
Parakeet (Other)
Parrot (Other)
Parrotlet
Peacock / Peafowl
Pheasant
Pigeon
Pionus
Poicephalus / Senegal
Quail
Quaker Parakeet
Rhea
Ringneck / Psittacula
Rosella
Swan
Toucan
Turkey
